"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",6.11333378833178e-06,0.00208566571078586,0.610526878385931,-0.4607948500441,-2.36024214442801,130,"Ighv1-15;Kdm5d;Ighv6-3;Ighg3;Igkv1-117;Klrd1;Trbv19;Klrk1;Igkc;Cd8a;Cd8b1;Jchain;Ighm;Cd160;Tec;Cd4;Trbc1;Bach2;Nedd4;Il6st;Trbc2;Prkcb;Lef1;Cd74"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",0.00100938653156449,0.0826485692045002,0.45505986738723,-0.459824725960437,-2.15146784094778,84,"Ighv1-15;Kdm5d;Ighv6-3;Ighg3;Klrd1;Igkc;Cd8a;Cd4;Bach2;Il6st;Lef1;Cd74;Cd55;Pdcd1;Mtor"
"GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE",0.000136581835385515,0.0215063859257037,0.518848077743792,0.691774457952302,2.27147300213542,21,"Oas2;Usp18;Oas3;Oasl1;Ifit3;Ifit2;Ifih1;Oas1a;Eif2ak2;Zbp1;Dhx58"
"GOBP_APOPTOTIC_PROCESS",0.00786168475022783,0.234159435516147,0.380730400722792,0.268981223584152,1.44938019544601,369,"Cdkn1a;Lgals3;Socs2;Nacc2;Phlda3;Plac8;Gzmb;Kcnj8;Top2a;Slfn3;Lgals1;Irf7;App;Zmat3;Bbc3;Ifi27l2a;Bmp7;Dapl1;Sgk1;Ifit3;Mgmt;Ifit2;Cxcr3;Txnip;Tsc22d3;Cdkn2a;Atn1;Xaf1;F2r;Ctnna1;Eya2;Pim1;Tnip2;Itgb3;Taf9b;Rara;Eif2ak2;Hmgn5;G0s2;Cxcr4;Capn2;Hells;Dbndd2;Cycs;Ddit4;Morf4l2;Dusp6;Ei24;Dipk2a;Casp3;Zbp1;Btg2;Bex3;Hmgb2;Bcl2l1;Daxx;Bcl2l11;Lgals9;Nckap1;H2-Q10;Rrp1b;Il7r;Bcl3;Tmbim6;Slc25a5;Map2k1;Aen;Bag3;Smad3;Ucp2;G6pdx;Cd40lg;Tnfaip8l2;Bcap31;Adora2a;Il6ra"
"GOBP_APOPTOTIC_SIGNALING_PATHWAY",0.00278896487660519,0.158006846938289,0.431707695803346,0.355993875728602,1.68423534973723,140,"Cdkn1a;Lgals3;Nacc2;Phlda3;Slfn3;App;Bbc3;Ifi27l2a;Dapl1;Cdkn2a;Ctnna1;Eya2;Taf9b;G0s2;Hells;Cycs;Ddit4;Ei24;Casp3;Bex3;Hmgb2;Bcl2l1;Daxx;Bcl2l11;Bcl3;Tmbim6;Slc25a5;Map2k1;Aen;Bag3;Smad3;Cd40lg;Bcap31;Adora2a;Il6ra;Fxn;Ing2;Crip1;Atad5;Ripk1;Grina;Eef1e1;Qars;Creb3;Tmem109;Sgpp1;Tnfrsf1a;Bax;Bcl2;Ggct;Ikbkg;Ar;Tfpt;Atp7a;Rps27l;Nfe2l2"
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS",0.000861614792846047,0.0734885617064941,0.477270815362862,0.298929984089551,1.60081624354197,351,"Trav5-4;Lgals3;Fer;Slpi;Oas2;Plac8;Gzmb;Kcnj8;Usp18;Ifi44;Ifitm3;Oas3;Lgals1;Irf7;App;Tasl;Stmn1;Cgas;N4bp1;Oasl1;Ifit3;Tnfsf4;Trafd1;Ulbp1;Rtp4;Rsad2;Ifit1;Ifit2;Ifih1;Bst2;Oas1a;F2r;Gch1;Pim1;Tnip2;Tnfsf8;Itgb3;Lamp2;Rara;Cmpk2;Eif2ak2;Irgm1;Vim;Calhm6;Cxcr4;Fgl2;Isg15;Capn2;Itga2;Ddit4;Il18rap;Herc6;Samhd1;Slfn9;Casp3;Ifngr1;Zbp1;Ube2l6;Hmgb2;Bcl2l1;Dhx58;Trim34a;Was;Lgals9;H2-Q10;Chmp1b;Rrp1b;Ly6e;Vps37b;Bpgm;Il7r;Isg20;Bcl3"
"GOBP_BROWN_FAT_CELL_DIFFERENTIATION",0.00429176657001148,0.178013034028175,0.407017918923954,0.680190767565908,1.9082881508193,12,"Plac8;Rgs2;Bmp7;Tfe3;Pim1;Zbtb7b"
"GOBP_B_CELL_MEDIATED_IMMUNITY",0.00349281638456429,0.163330703951042,0.431707695803346,-0.561474595064963,-2.11890969137638,31,"Ighv1-15;Ighv6-3;Ighg3;Igkc"
"GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.00532702431496154,0.19130559250397,0.407017918923954,-0.671143922552999,-2.23151267656859,18,"Ighg3;Igkc;Ighm;Tec;Prkcb;Prkch"
"GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY",0.00641693505325559,0.21892443423357,0.407017918923954,0.373473992602562,1.71765319218298,114,"Fer;Oas2;Socs2;Usp18;Ifitm3;Oas3;Irf7;Ccr2;Oasl1;Cxcr3;Plp2;Ifih1;Oas1a;Tnip2;Il18r1;Irgm1;Lilrb4b;Cxcr4;Isg15;Il2rg;Crlf2;Il18rap;Samhd1;Ifngr1;Zbp1"
"GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY",0.00207910863963104,0.132997980791398,0.431707695803346,0.490572651230981,1.94938632716086,50,"Kcnj8;Oas3;Irf7;Tasl;Cgas;Oasl1;Rsad2;Ifih1;Oas1a;Tnip2;Lamp2;Eif2ak2;Irgm1"
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM",0.0042714492259626,0.178013034028175,0.407017918923954,0.303152476758771,1.55986161771603,251,"Lgals3;Slpi;Oas2;Plac8;Gzmb;Kcnj8;Usp18;Ifitm3;Oas3;Irf7;App;Tasl;Cgas;N4bp1;Oasl1;Ifit3;Tnfsf4;Trafd1;Ulbp1;Rtp4;Rsad2;Ifit1;Ifit2;Ifih1;Bst2;Oas1a;Gch1;Pim1;Tnip2;Tnfsf8;Lamp2;Eif2ak2;Irgm1;Vim;Calhm6;Fgl2;Isg15;Ddit4;Il18rap;Samhd1;Slfn9;Ifngr1;Zbp1;Ube2l6;Hmgb2;Bcl2l1;Dhx58;Trim34a;Was;Lgals9;H2-Q10;Ly6e;Bpgm;Il7r;Isg20;Bcl3"
